v_landname,iso_code,v_kontinent,v_sub_region,v_alphabetische_gruppe,v_nationaltier
Rwanda,RWA,Africa,Sub-Saharan Africa,M-R,Unbekannt
Saint Barthélemy,BLM,Americas,Latin America and the Caribbean,S-Z,Unbekannt
"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Saint Kitts and Nevis,KNA,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Saint Lucia,LCA,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Saint Martin (French part),MAF,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Saint Pierre and Miquelon,SPM,Americas,Northern America,S-Z,Unbekannt
Saint Vincent and the Grenadines,VCT,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Samoa,WSM,Oceania,Polynesia,S-Z,Unbekannt
San Marino,SMR,Europe,Southern Europe,S-Z,Unbekannt
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Saudi Arabia,SAU,Asia,Western Asia,S-Z,Araber-Pferd
Senegal,SEN,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Serbia,SRB,Europe,Southern Europe,S-Z,Unbekannt
Seychelles,SYC,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Sierra Leone,SLE,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Singapore,SGP,Asia,South-eastern Asia,S-Z,Unbekannt
Sint Maarten (Dutch part),SXM,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Slovakia,SVK,Europe,Eastern Europe,S-Z,Unbekannt
Slovenia,SVN,Europe,Southern Europe,S-Z,Unbekannt
Solomon Islands,SLB,Oceania,Melanesia,S-Z,Unbekannt
Somalia,SOM,Africa,Sub-Saharan Africa,S-Z,Unbekannt
South Africa,ZAF,Africa,Sub-Saharan Africa,S-Z,Springbock
South Georgia and the South Sandwich Islands,SGS,Americas,Latin America and the Caribbean,S-Z,Unbekannt
South Sudan,SSD,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Spain,ESP,Europe,Southern Europe,S-Z,Osborne-Stier
Sri Lanka,LKA,Asia,Southern Asia,S-Z,Unbekannt
Sudan,SDN,Africa,Northern Africa,S-Z,Unbekannt
Suriname,SUR,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Svalbard and Jan Mayen,SJM,Europe,Northern Europe,S-Z,Unbekannt
Sweden,SWE,Europe,Northern Europe,S-Z,Elch
Switzerland,CHE,Europe,Western Europe,S-Z,Keines (Inoffiziell: Kuh)
Syrian Arab Republic,SYR,Asia,Western Asia,S-Z,Unbekannt
"Taiwan, Province of China",TWN,,,S-Z,Unbekannt
Tajikistan,TJK,Asia,Central Asia,S-Z,Unbekannt
"Tanzania, United Republic of",TZA,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Thailand,THA,Asia,South-eastern Asia,S-Z,Unbekannt
Timor-Leste,TLS,Asia,South-eastern Asia,S-Z,Unbekannt
Togo,TGO,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Tokelau,TKL,Oceania,Polynesia,S-Z,Unbekannt
Tonga,TON,Oceania,Polynesia,S-Z,Unbekannt
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Tunisia,TUN,Africa,Northern Africa,S-Z,Unbekannt
Türkiye,TUR,Asia,Western Asia,S-Z,Grauer Wolf
Turkmenistan,TKM,Asia,Central Asia,S-Z,Unbekannt
Turks and Caicos Islands,TCA,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Tuvalu,TUV,Oceania,Polynesia,S-Z,Unbekannt
Uganda,UGA,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Ukraine,UKR,Europe,Eastern Europe,S-Z,Unbekannt
United Arab Emirates,ARE,Asia,Western Asia,S-Z,Unbekannt
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Northern Europe,S-Z,Löwe
United States of America,USA,Americas,Northern America,S-Z,Weißkopfseeadler
United States Minor Outlying Islands,UMI,Oceania,Micronesia,S-Z,Unbekannt
Uruguay,URY,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Uzbekistan,UZB,Asia,Central Asia,S-Z,Unbekannt
Vanuatu,VUT,Oceania,Melanesia,S-Z,Unbekannt
"Venezuela, Bolivarian Republic of",VEN,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Viet Nam,VNM,Asia,South-eastern Asia,S-Z,Unbekannt
Virgin Islands (British),VGB,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Virgin Islands (U.S.),VIR,Americas,Latin America and the Caribbean,S-Z,Unbekannt
Wallis and Futuna,WLF,Oceania,Polynesia,S-Z,Unbekannt
Western Sahara,ESH,Africa,Northern Africa,S-Z,Unbekannt
Yemen,YEM,Asia,Western Asia,S-Z,Unbekannt
Zambia,ZMB,Africa,Sub-Saharan Africa,S-Z,Unbekannt
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,S-Z,Unbekannt
